x,y,ln(x),ln(y),ln(x)ln(y),ln(x)^2
1989.2083,354.08,7.5955,5.8695,44.5819,57.6915
1989.2917,355.72,7.5955,5.8741,44.6173,57.6921
1989.3750,355.95,7.5956,5.8748,44.6224,57.6928
1989.4583,355.44,7.5956,5.8734,44.6118,57.6934
1989.5417,354.05,7.5957,5.8694,44.5823,57.6940
1989.6250,351.84,7.5957,5.8632,44.5349,57.6947
1989.7083,350.09,7.5957,5.8582,44.4973,57.6953
1989.7917,350.33,7.5958,5.8589,44.5028,57.6960
1989.8750,351.55,7.5958,5.8624,44.5294,57.6966
1989.9583,352.91,7.5959,5.8662,44.5590,57.6972
1990.0417,353.86,7.5959,5.8689,44.5797,57.6979
1990.1250,355.10,7.5960,5.8724,44.6065,57.6985
1990.2083,355.75,7.5960,5.8742,44.6206,57.6991
1990.2917,356.38,7.5960,5.8760,44.6343,57.6998
1990.3750,357.38,7.5961,5.8788,44.6558,57.7004
1990.4583,356.39,7.5961,5.8760,44.6350,57.7010
1990.5417,354.89,7.5962,5.8718,44.6032,57.7017
1990.6250,353.06,7.5962,5.8666,44.5642,57.7023
1990.7083,351.38,7.5962,5.8619,44.5282,57.7030
1990.7917,351.69,7.5963,5.8628,44.5351,57.7036
1990.8750,353.14,7.5963,5.8669,44.5666,57.7042
1990.9583,354.41,7.5964,5.8705,44.5942,57.7049
1991.0417,354.93,7.5964,5.8719,44.6055,57.7055
1991.1250,355.82,7.5965,5.8744,44.6248,57.7061
1991.2083,357.33,7.5965,5.8787,44.6572,57.7068
1991.2917,358.77,7.5965,5.8827,44.6880,57.7074
1991.3750,359.23,7.5966,5.8840,44.6980,57.7080
1991.4583,358.23,7.5966,5.8812,44.6771,57.7087
1991.5417,356.30,7.5967,5.8758,44.6363,57.7093
1991.6250,353.97,7.5967,5.8692,44.5867,57.7099
1991.7083,352.34,7.5967,5.8646,44.5519,57.7106
1991.7917,352.43,7.5968,5.8649,44.5540,57.7112
