x,y,xy,x^2
2004.0417,377.17,755864.4080,4016183.1353
2004.1250,378.05,757659.4563,4016517.0156
2004.2083,379.06,759715.1982,4016850.9098
2004.2917,380.54,762713.1635,4017185.2187
2004.3750,380.80,763266.0000,4017519.1406
2004.4583,379.87,761433.5744,4017853.0764
2004.5417,377.65,757015.1730,4018187.4270
2004.6250,376.17,754079.7863,4018521.3906
2004.7083,374.43,750622.9288,4018855.3681
2004.7917,374.63,751055.1146,4019189.7604
2004.8750,376.33,754494.6088,4019523.7656
2004.9583,377.68,757232.6507,4019857.7847
2005.0417,378.63,759168.9389,4020192.2187
2005.1250,379.91,761767.0388,4020526.2656
2005.2083,380.95,763884.1019,4020860.3264
2005.2917,382.48,766983.9694,4021194.8021
2005.3750,382.64,767336.6900,4021528.8906
2005.4583,382.40,766887.2539,4021862.9930
2005.5417,380.93,763970.9998,4022197.5104
2005.6250,378.93,759991.4813,4022531.6406
2005.7083,376.89,755931.4012,4022865.7847
2005.7917,377.19,756564.5713,4023200.3438
2005.8750,378.54,759303.9225,4023534.5156
2005.9583,380.31,762886.0011,4023868.7013
2006.0417,381.58,765465.3919,4024203.3021
2006.1250,382.40,767142.2000,4024537.5156
2006.2083,382.86,768096.9097,4024871.7430
2006.2917,384.80,772021.0462,4025206.3855
2006.3750,385.22,772895.7775,4025540.6406
2006.4583,384.24,770961.5372,4025874.9096
2006.5417,382.65,767803.1815,4026209.5938
2006.6250,380.60,763721.4750,4026543.8906
2006.7083,379.04,760622.7140,4026878.2013
2006.7917,379.33,761236.2956,4027212.9272
2006.8750,380.35,763314.9062,4027547.2656
2006.9583,382.02,766698.2098,4027881.6179
2007.0417,383.10,768897.6753,4028216.3855
2007.1250,384.12,770976.8550,4028550.7656
2007.2083,384.81,772393.8259,4028885.1596
2007.2917,386.73,776279.9191,4029219.9689
2007.3750,386.78,776412.5025,4029554.3906
2007.4583,386.33,775541.3650,4029888.8262
2007.5417,384.73,772361.5182,4030223.6772
2007.6250,382.24,767394.5800,4030558.1406
2007.7083,381.20,765338.4040,4030892.6179
2007.7917,381.37,765711.5206,4031227.5106
2007.8750,382.70,768413.7625,4031562.0156
2007.9583,384.19,771437.4993,4031896.5345
2008.0417,385.78,774662.3270,4032231.4689
2008.1250,386.06,775256.7375,4032566.0156
2008.2083,386.28,775730.7021,4032900.5762
2008.2917,387.33,777871.6242,4033235.5523
2008.3750,388.78,780816.0325,4033570.1406
2008.4583,387.99,779261.7358,4033904.7428
2008.5417,386.61,776522.3066,4034239.7606
2008.6250,384.32,771954.7600,4034574.3906
