x,y,xy,x^4,x^3,x^2,x^2y
1967.0411,322.33,634036.3578,14971100895017.3242,7610975131.6418,3869250.6891,1247175574.614125
1967.1260,322.50,634398.1350,14973685749514.4316,7611960672.3283,3869584.6999,1247941065.7100098
1967.2027,323.03,635465.4882,14976021235638.3027,7612851098.4853,3869886.4629,1250089424.1064813
1967.2877,324.41,638207.8028,14978609772776.1992,7613837962.1731,3870220.8946,1255538360.4078724
1967.3699,325.00,639395.2175,14981113359605.3066,7614792398.5242,3870544.3234,1257926905.1134531
1967.4548,324.09,637632.4261,14983699510502.1973,7615778268.7065,3870878.3900,1254512977.4290488
1967.5370,322.54,634609.3840,14986203735330.7559,7616732867.1993,3871201.8464,1248617443.5278573
1967.6219,320.92,631449.2201,14988790545239.2441,7617718904.8563,3871535.9414,1242453314.3011262
1967.7068,319.25,628190.3959,14991377690020.5645,7618705027.6091,3871870.0508,1236094513.707122
1967.7890,319.39,628492.1287,14993882877207.6543,7619659870.6506,3872193.5485,1236739897.4621222
1967.8740,320.73,631156.2280,14996473729428.0996,7620647322.6579,3872528.0799,1242035931.0586295
1967.9562,321.96,633603.1782,14998979555268.4805,7621602327.9728,3872851.6051,1246903302.783933
1968.0410,322.57,634830.9854,15001564969881.9082,7622587623.8767,3873185.3777,1249373407.2785602
1968.1257,323.15,635999.8200,15004147669293.1484,7623571842.6385,3873518.7710,1251727590.8488083
1968.2049,323.89,637481.8851,15006562962639.9375,7624492227.7350,3873830.5284,1254694969.838297
1968.2896,325.02,639733.4858,15009146307358.7344,7625476610.4331,3874163.9495,1259180766.8561413
1968.3716,325.57,640842.7418,15011647619990.5645,7626429694.4696,3874486.7557,1261416653.0488732
1968.4563,325.36,640456.9418,15014231621151.3379,7627414243.9186,3874820.2050,1260711501.9019527
1968.5383,324.14,638082.0046,15016733569353.4277,7628367489.3973,3875143.0386,1256088864.5210717
1968.6230,322.11,634113.1545,15019318227067.3730,7629352205.6114,3875476.5161,1248329740.6103122
1968.7077,320.33,630636.1375,15021903218417.5195,7630337006.5640,3875810.0080,1241538219.8752255
1968.7896,320.25,630504.8694,15024403072809.7324,7631289332.6995,3876132.4891,1241331429.6240783
1968.8743,321.32,632638.6901,15026988720486.7715,7632274300.3384,3876466.0092,1245586058.0763013
1968.9563,322.89,635756.2997,15029492262853.7734,7633227950.6934,3876788.9113,1251776371.5727859
1969.0411,324.00,637969.3164,15032081621048.3125,7634214248.2695,3877122.8535,1256187804.530504
1969.1260,324.41,638804.1657,15034674367889.8867,7635201794.0395,3877457.2039,1257885891.5094132
1969.2027,325.63,641231.4752,15037016984667.7812,7636094031.6951,3877759.2737,1262714752.2907922
1969.2877,326.66,643287.5201,15039613424744.2598,7637082902.9929,3878094.0454,1266818200.8609858
1969.3699,327.38,644732.3179,15042124654829.0996,7638039280.9036,3878417.8030,1269716420.354655
1969.4548,326.71,643440.5777,15044718700707.7637,7639027156.5043,3878752.2092,1267227134.2817936
1969.5370,325.88,641832.7176,15047230570089.8477,7639983696.7215,3879075.9944,1264113285.0449698
1969.6219,323.66,637487.8242,15049825276320.5879,7640971739.9672,3879410.4290,1255609979.4370675
1969.7068,322.38,634994.0782,15052420318105.2715,7641959868.3953,3879744.8780,1250752153.7587564
1969.7890,321.78,633838.7044,15054933151803.2715,7642916653.4097,3880068.7045,1248528507.7407672
